City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Nemuro,JP,43.3236,145.575,54.9,83,63,11.25,broken clouds
70,Saskylakh,RU,71.9167,114.0833,-10.26,100,100,2.51,overcast clouds
71,Hirara,JP,24.8,125.2833,75.4,59,70,17.16,broken clouds
72,Pauini,BR,-7.7136,-66.9764,81.07,88,91,3.13,heavy intensity rain
73,Fortuna,US,40.5982,-124.1573,67.35,69,75,1.99,broken clouds
74,Rio Grande,BR,-32.035,-52.0986,89.71,63,0,8.9,clear sky
75,Qaanaaq,GL,77.484,-69.3632,20.08,94,100,10.78,overcast clouds
76,Port Alfred,ZA,-33.5906,26.891,66.76,85,100,34.4,light rain
77,Hobart,AU,-42.8794,147.3294,57.06,74,0,17.27,clear sky
78,Awbari,LY,26.5921,12.7805,76.15,23,61,9.84,broken clouds
79,Russkaya Polyana,UA,49.417,31.9201,43.9,68,11,5.28,few clouds
80,Torbay,CA,47.6666,-52.7314,43.29,83,100,3.0,overcast clouds
81,Manta,EC,-0.95,-80.7333,78.58,78,90,10.36,overcast clouds
82,Amnat Charoen,TH,15.9167,104.75,71.2,86,100,18.28,overcast clouds
83,Polyarnyy,RU,69.1989,33.4478,14.47,69,61,8.9,broken clouds
84,Alice Springs,AU,-23.7,133.8833,83.75,37,75,11.5,broken clouds
85,Sao Filipe,CV,14.8961,-24.4956,79.03,76,71,9.15,broken clouds
86,Talnakh,RU,69.4865,88.3972,-2.24,99,92,11.14,overcast clouds
87,Bud,US,39.447,-86.1758,60.21,56,14,6.87,few clouds
88,Mahebourg,MU,-20.4081,57.7,72.25,83,20,5.75,few clouds
89,Whitehorse,CA,60.7161,-135.0538,33.1,93,90,1.99,overcast clouds
90,Klaksvik,FO,62.2266,-6.589,49.12,82,100,19.64,overcast clouds
91,Grindavik,IS,63.8424,-22.4338,39.67,87,0,6.91,clear sky
92,Znamenskoye,RU,57.1281,73.8282,29.28,86,94,4.97,overcast clouds
93,Bontang,ID,0.1333,117.5,78.44,88,11,7.7,few clouds
94,Boa Vista,BR,2.8197,-60.6733,91.38,49,40,3.44,scattered clouds
95,Luena,AO,-11.7833,19.9167,66.27,78,16,5.97,few clouds
96,Strezhevoy,RU,60.7333,77.5889,15.78,96,34,6.78,scattered clouds
97,Narsaq,GL,60.9167,-46.05,29.41,68,7,4.83,clear sky
98,Yellowknife,CA,62.456,-114.3525,39.42,100,75,6.91,light rain
99,Faanui,PF,-16.4833,-151.75,79.74,77,100,9.35,light rain
100,Chiknayakanhalli,IN,13.4172,76.6228,70.86,67,100,5.35,overcast clouds
101,Dali,CN,25.7,100.1833,55.9,87,33,4.74,scattered clouds
102,Lasem,ID,-6.6922,111.4527,78.75,83,100,5.14,overcast clouds
103,Revda,RU,56.801,59.9303,34.61,85,100,11.43,overcast clouds
104,Ilulissat,GL,69.2167,-51.1,15.82,48,75,10.36,broken clouds
105,Taltal,CL,-25.4,-70.4833,68.14,59,22,6.6,few clouds
106,Padang,ID,-0.9492,100.3543,75.25,77,65,3.53,broken clouds
107,Kavaratti,IN,10.5669,72.642,81.52,75,100,9.31,overcast clouds
108,Ahipara,NZ,-35.1667,173.1667,59.94,83,100,4.18,light rain
109,Kapaa,US,22.0752,-159.319,80.58,83,1,1.01,clear sky
110,Lethem,GY,3.3803,-59.7968,91.35,47,74,7.9,broken clouds
111,Saint George,US,37.1041,-113.5841,68.34,39,1,1.01,clear sky
112,Saldanha,ZA,-33.0117,17.9442,60.85,96,100,12.97,overcast clouds
113,Bethanien,NA,-26.502,17.1583,73.42,17,93,13.69,overcast clouds
114,Mehamn,NO,71.0357,27.8492,33.98,74,0,9.22,clear sky
115,Deming,US,32.2687,-107.7586,64.29,13,1,10.36,clear sky
116,Esmeraldas,BR,-19.7625,-44.3139,89.71,55,99,8.39,overcast clouds
117,Konotop,UA,51.2403,33.2026,41.72,81,45,7.14,scattered clouds
118,Buala,SB,-8.145,159.5921,79.93,83,72,6.93,light rain
119,Hithadhoo,MV,-0.6,73.0833,82.53,73,7,15.23,clear sky
120,Butaritari,KI,3.0707,172.7902,81.7,70,100,5.46,overcast clouds
121,Xining,CN,36.6167,101.7667,34.14,82,29,1.9,scattered clouds
122,La Barca,MX,20.2833,-102.5667,77.16,50,90,4.85,overcast clouds
123,Civitavecchia,IT,42.0933,11.7967,62.49,67,100,11.05,overcast clouds
124,Tacuarembo,UY,-31.7333,-55.9833,88.2,43,0,7.49,clear sky
125,Coquimbo,CL,-29.9533,-71.3436,62.33,72,20,12.66,few clouds
126,Cherskiy,RU,68.75,161.3,-18.78,98,7,5.44,clear sky
127,Tual,ID,-5.6667,132.75,83.19,78,97,9.75,overcast clouds
128,Guerrero Negro,MX,27.9769,-114.0611,78.15,30,0,3.18,clear sky
129,Tiksi,RU,71.6872,128.8694,10.69,95,96,3.65,overcast clouds
130,Olafsvik,IS,64.8945,-23.7142,40.39,93,100,22.24,overcast clouds
131,Hilo,US,19.7297,-155.09,79.25,69,20,5.75,few clouds
132,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,88,75,6.91,broken clouds
133,Zhangye,CN,38.9342,100.4517,41.25,50,5,3.62,clear sky
134,Luderitz,NA,-26.6481,15.1594,61.48,80,100,2.91,overcast clouds
135,Sheridan,US,44.8333,-106.9173,58.01,31,20,4.0,few clouds
136,Bonavista,CA,48.6499,-53.1147,43.12,68,100,14.5,overcast clouds
137,Jamestown,US,42.097,-79.2353,55.29,71,1,10.36,clear sky
138,Mezen,RU,65.8522,44.24,23.07,93,91,10.2,overcast clouds
139,Mwingi,KE,-0.9344,38.0601,69.93,74,0,8.52,clear sky
140,Kapuskasing,CA,49.4169,-82.4331,50.09,57,75,2.3,broken clouds
141,Henties Bay,NA,-22.116,14.2845,60.85,80,100,7.76,overcast clouds
142,Aldama,MX,22.9167,-98.0667,96.44,42,7,6.42,clear sky
143,Yulara,AU,-25.2406,130.9889,73.24,27,71,8.05,broken clouds
144,Te Anau,NZ,-45.4167,167.7167,49.87,94,81,0.43,broken clouds
145,Araouane,ML,18.9048,-3.5265,92.97,15,88,6.44,overcast clouds
146,Dunedin,NZ,-45.8742,170.5036,58.8,82,38,5.99,scattered clouds
147,Nikolskoye,RU,59.7035,30.7861,46.87,93,100,7.78,moderate rain
148,Fairbanks,US,64.8378,-147.7164,26.6,92,90,1.01,light shower snow
149,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,82,51,14.43,broken clouds
150,Lazaro Cardenas,MX,17.9583,-102.2,84.67,70,100,4.59,overcast clouds
151,Yuncheng,CN,35.0231,110.9928,56.3,56,100,2.82,overcast clouds
152,Tomatlan,MX,19.9333,-105.25,88.3,59,100,6.35,overcast clouds
153,Kruisfontein,ZA,-34.0033,24.7314,64.89,80,100,2.3,overcast clouds
154,Sukhothai,TH,17.25,99.6667,73.74,94,83,2.53,broken clouds
155,La Ronge,CA,55.1001,-105.2842,41.25,87,90,3.44,overcast clouds
156,Upata,VE,8.0086,-62.3989,82.18,87,86,4.61,overcast clouds
157,Marsa Matruh,EG,31.3525,27.2453,73.72,78,95,15.64,overcast clouds
158,Paamiut,GL,61.994,-49.6678,32.09,72,59,14.52,broken clouds
