City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bairiki,KI,2021-10-25 21:56:24,1.3292,172.9752,84.2,74,40,6.91
68,Bredasdorp,ZA,2021-10-25 21:56:25,-34.5322,20.0403,61.29,90,21,11.18
69,Saskylakh,RU,2021-10-25 21:56:25,71.9167,114.0833,-1.98,97,100,2.66
70,Fartura,BR,2021-10-25 21:56:25,-23.3883,-49.51,69.03,77,92,7.38
71,Paka,MY,2021-10-25 21:56:26,4.6374,103.4368,76.98,94,37,0.0
72,Lorengau,PG,2021-10-25 21:56:26,-2.0226,147.2712,83.48,71,42,4.43
73,Marawi,PH,2021-10-25 21:56:26,7.9986,124.2928,66.65,90,97,1.77
74,Lata,PT,2021-10-25 21:56:27,40.1629,-8.3327,57.06,93,0,2.71
75,Nikolskoye,RU,2021-10-25 21:56:27,59.7035,30.7861,46.87,85,99,9.57
76,Newberry,US,2021-10-25 21:56:27,34.2746,-81.6187,75.87,85,55,7.65
77,Kaitangata,NZ,2021-10-25 21:56:27,-46.2817,169.8464,55.15,83,100,6.87
78,Camocim,BR,2021-10-25 21:56:28,-2.9022,-40.8411,80.69,71,6,19.06
79,Hithadhoo,MV,2021-10-25 21:56:28,-0.6,73.0833,83.03,71,87,16.71
80,Bluff,NZ,2021-10-25 21:56:28,-46.6,168.3333,54.28,87,72,5.19
81,Cape Town,ZA,2021-10-25 21:53:11,-33.9258,18.4232,63.88,64,0,4.0
82,Coquimbo,CL,2021-10-25 21:53:16,-29.9533,-71.3436,60.53,77,75,11.5
83,Tessalit,ML,2021-10-25 21:56:29,20.1986,1.0114,87.71,17,86,8.32
84,Hermanus,ZA,2021-10-25 21:56:29,-34.4187,19.2345,61.81,86,38,14.67
85,Amapa,BR,2021-10-25 21:56:30,1.0,-52.0,83.5,60,87,5.55
86,Markova,UA,2021-10-25 21:56:30,48.6758,24.4138,38.93,56,0,3.65
87,Morondava,MG,2021-10-25 21:56:30,-20.2833,44.2833,78.69,65,82,4.09
88,Tautira,PF,2021-10-25 21:56:31,-17.7333,-149.15,82.42,76,91,3.83
89,Upernavik,GL,2021-10-25 21:56:31,72.7868,-56.1549,15.21,61,11,5.64
90,Torbay,CA,2021-10-25 21:56:31,47.6666,-52.7314,41.58,76,90,14.97
91,Berlevag,NO,2021-10-25 21:56:32,70.8578,29.0864,33.12,82,95,25.59
92,Beidao,CN,2021-10-25 21:56:32,34.5686,105.8933,47.88,82,100,7.23
93,Chuy,UY,2021-10-25 21:56:32,-33.6971,-53.4616,66.18,74,0,1.19
94,Port Alfred,ZA,2021-10-25 21:56:32,-33.5906,26.891,62.29,85,20,14.25
95,Sibu,MY,2021-10-25 21:56:33,2.3,111.8167,77.31,94,40,3.0
96,Puerto Ayora,EC,2021-10-25 21:56:33,-0.7393,-90.3518,75.16,91,55,8.01
97,Saint-Philippe,RE,2021-10-25 21:56:33,-21.3585,55.7679,72.95,82,42,12.19
98,Atuona,PF,2021-10-25 21:56:34,-9.8,-139.0333,77.22,77,19,16.13
99,Cherskiy,RU,2021-10-25 21:56:34,68.75,161.3,-11.16,96,99,2.13
100,Arraial Do Cabo,BR,2021-10-25 21:56:34,-22.9661,-42.0278,69.76,83,90,8.05
101,Provideniya,RU,2021-10-25 21:56:34,64.3833,-173.3,21.31,58,90,4.47
102,Palanas,PH,2021-10-25 21:56:35,12.1458,123.9216,79.0,87,99,12.73
103,Malanje,AO,2021-10-25 21:56:35,-9.5402,16.341,64.96,94,97,2.28
104,Leningradskiy,RU,2021-10-25 21:56:35,69.3833,178.4167,8.4,94,100,15.66
105,Ilulissat,GL,2021-10-25 21:56:36,69.2167,-51.1,0.18,78,0,4.45
106,Pindiga,NG,2021-10-25 21:56:36,9.9833,10.9333,79.2,58,69,5.66
107,Camopi,GF,2021-10-25 21:56:36,3.1655,-52.3158,74.84,99,100,3.44
