City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
638,Mabaruma,GY,80.04,broken clouds,8.2,-59.7833,Monty Brooms Guest House
646,Sainte-Rose,GP,85.17,few clouds,16.3324,-61.6979,Villa - Duzer
651,Port Keats,AU,82.45,light rain,-14.25,129.55,TDC Village (Hundred Man Camp)
655,Vicuna,CL,88.77,few clouds,-30.0319,-70.7081,Los Mosaicos
656,Cap Estate,LC,85.62,few clouds,14.0833,-60.95,Coco Palm Resort
657,Am Timan,TD,84.36,scattered clouds,11.0297,20.2827,Palais du chef Canton Salamt
658,Comodoro Rivadavia,AR,78.66,clear sky,-45.8667,-67.5,Austral Hotel
659,Kuala Terengganu,MY,78.75,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
662,El Fuerte,MX,84.7,clear sky,26.4189,-108.6194,Hotel Rio Vista
665,Daru,PG,80.58,overcast clouds,-9.0763,143.2092,Daru Lodge
670,Unguia,CO,86.43,overcast clouds,8.0434,-77.0945,Residencias El Golfo
672,Mattru,SL,78.53,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
673,Realeza,BR,81.91,overcast clouds,-25.7689,-53.5325,Hotel Renascer
675,Salta,AR,88.09,clear sky,-24.7859,-65.4117,Hotel Alejandro I
676,Killeen,US,76.68,clear sky,31.1171,-97.7278,OYO Hotel Killeen
678,Santa Ines,BR,86.85,broken clouds,-3.6667,-45.38,Palace hotel
682,Galesong,ID,75.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
683,Buin,CL,82.72,clear sky,-33.7333,-70.75,Paihuen
692,Kandrian,PG,77.59,broken clouds,-6.2167,149.55,Kandrian Station
693,Bosaso,SO,79.9,clear sky,11.2842,49.1816,Red Sea Hotel
697,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
698,Matay,EG,79.56,clear sky,28.419,30.7792,Nag Aespen
699,Port-Gentil,GA,78.21,overcast clouds,-0.7193,8.7815,Fengshui Residence
706,Dumai,ID,75.31,clear sky,1.6833,101.45,Grand Zuri Dumai
708,Palauig,PH,80.06,few clouds,15.435,119.9045,Alperi Botique Resort
